gene_name,feature1,feature2,feature3,feature4,label
ABAT,-0.14409032957792836,-0.1729036003315193,-0.11131586156766246,0.7019837250988631,2
ABCA10,-0.12758828378288709,-1.4973534143409575,0.33231834406771527,-0.2673374784971682,2
ABCA13,-0.216958684145195,0.11588478670085507,0.23229773690672087,1.163558686599143,2
ABCA2,0.6566365067986689,0.11050717744383194,-0.7383216023448206,-1.014662367487717,3
ABCA7,0.24634219521120196,1.3110808272040482,0.04165686390338389,-0.10632329377078427,2
ABCE1,0.5317762204008692,-1.453545298008678,-0.3122773171445598,0.49036253259352475,1
ABL2,0.8734043853794468,-0.2406296726551354,0.3765998586879102,0.24821344932841446,3
ACAP2,0.7823268087036421,-1.1132222142481727,0.5682506875853858,-1.5145203917251397,2
ACE,-2.619945422218852,-0.6068907281995026,-0.9158100463459947,0.8760122430564063,2
ACHE,0.664265899612895,-1.2190747412956953,0.8473614233480004,-1.0022028242423497,2
ACTB,-0.08624384633628418,-0.29389977795653216,0.11441985746092122,0.8186363115437669,1
ACTL6B,0.6384137907924435,0.3498851018692087,0.6499480978062986,0.4784920376501184,0
ACTN4,-0.6269854652195999,-0.7173710938165775,-0.4699682741360139,0.4993264004767815,2
ACY1,-0.2501155709973842,2.335754222480548,-0.8192925421864935,-1.0988745999021583,0
ADA,0.7684735154696964,1.4218499813434655,0.5056926908392599,0.8358173459676733,2
ADCY1,1.4263449774421624,-0.0940274760163039,-1.4229589331389771,-0.5320765483187126,3
ADCY3,0.9528957573165765,-1.4436784060782881,0.03353132078726135,0.2532373593420619,2
ADCY5,-0.3155921648136706,0.7236319863680966,0.5807797415265663,2.321408516900731,2
ADGRB1,0.6199677677731354,-0.6094034586430621,-0.5617975923340306,-0.8315811012420066,3
ADGRL1,0.9522735598158206,-0.566832834813701,-0.07026077370059765,0.7493026192896751,3
ADK,-0.7234629906514067,-0.29365796361771856,-1.841286265603916,-1.0824786190387132,2
ADNP,-0.5677364121918498,0.41576098851667154,1.1934932724432972,-0.018466813163711633,1
