gene_name,feature1,feature2,feature3,feature4,label
ABAT,-0.1440903295779283,-0.1729036003315193,-0.1113158615676624,0.7019837250988631,0.4744455962657237
ABCA10,-0.127588283782887,-1.4973534143409577,0.3323183440677152,-0.2673374784971682,0.0360911021532378
ABCA13,-0.216958684145195,0.115884786700855,0.2322977369067208,1.163558686599143,0.5786700778428913
ABCA2,0.6566365067986689,0.1105071774438319,-0.7383216023448206,-1.014662367487717,2.103418599941366
ABCA7,0.2463421952112019,1.3110808272040482,0.0416568639033838,-0.1063232937707842,-0.0301054845986533
ABCE1,0.5317762204008692,-1.453545298008678,-0.3122773171445598,0.4903625325935247,-0.950554766242558
ABL2,0.8734043853794468,-0.2406296726551354,0.3765998586879102,0.2482134493284144,2.142204250779637
ACAP2,0.7823268087036421,-1.1132222142481727,0.5682506875853858,-1.5145203917251395,0.6613363173898341
ACE,-2.619945422218852,-0.6068907281995026,-0.9158100463459948,0.8760122430564063,-0.1925582767276795
ACHE,0.664265899612895,-1.2190747412956953,0.8473614233480004,-1.0022028242423495,0.5060950987608894
ACTB,-0.0862438463362841,-0.2938997779565321,0.1144198574609212,0.8186363115437669,-1.1088376816975345
ACTL6B,0.6384137907924435,0.3498851018692087,0.6499480978062986,0.4784920376501184,-2.030894417928601
ACTN4,-0.6269854652195999,-0.7173710938165775,-0.4699682741360139,0.4993264004767815,0.2985787910543568
ACY1,-0.2501155709973842,2.335754222480548,-0.8192925421864935,-1.0988745999021583,-3.030204330010545
ADA,0.7684735154696964,1.4218499813434655,0.5056926908392599,0.8358173459676733,-1.0592479624748288
ADCY1,1.4263449774421624,-0.0940274760163039,-1.4229589331389771,-0.5320765483187126,0.6638292065860892
ADCY3,0.9528957573165764,-1.443678406078288,0.0335313207872613,0.2532373593420619,-0.5676621323962486
ADCY5,-0.3155921648136706,0.7236319863680966,0.5807797415265663,2.321408516900731,0.3484804548835039
ADGRB1,0.6199677677731354,-0.6094034586430621,-0.5617975923340306,-0.8315811012420066,0.4251515509229368
ADGRL1,0.9522735598158206,-0.566832834813701,-0.0702607737005976,0.7493026192896751,0.077024399822058
ADK,-0.7234629906514067,-0.2936579636177185,-1.841286265603916,-1.0824786190387132,1.1433452110287554
ADNP,-0.5677364121918498,0.4157609885166715,1.1934932724432972,-0.0184668131637116,-0.9447830249968652
